execution	input_reads	mapped_any_target	unmapped	reads_one_reported_target	reads_multiple_reported_targets	reads_unique_best_AS	reads_tied_best_AS
Lib1barcode41	2831	960	1871	960	0	960	0
Lib1barcode42	1018	626	392	626	0	626	0
Lib1barcode43	1469	783	686	783	0	783	0
Lib1barcode44	477	157	320	157	0	157	0
Lib1barcode45	1972	470	1502	470	0	470	0
Lib1barcode46	2275	620	1655	620	0	620	0
Lib1barcode47	3162	409	2753	409	0	409	0
Lib1barcode48	1753	229	1524	229	0	229	0
Lib1barcode49	265	77	188	77	0	77	0
Lib1barcode50	951	586	365	586	0	586	0
Lib1barcode51	1235	742	493	742	0	742	0
Lib1barcode52	2012	622	1390	622	0	622	0
Lib1barcode53	4436	1082	3354	1082	0	1082	0
Lib1barcode54	2759	801	1958	801	0	801	0
Lib1barcode55	3035	416	2619	416	0	416	0
Lib1barcode56	2648	374	2274	374	0	374	0
Lib1barcode57	3733	2190	1543	2190	0	2190	0
Lib1barcode58	6739	446	6293	446	0	446	0
Lib1barcode59	2863	1543	1320	1543	0	1543	0
Lib1barcode60	371	214	157	214	0	214	0
Lib1barcode61	1828	1109	719	1109	0	1109	0
Lib1barcode62	2028	1207	821	1207	0	1207	0
Lib1barcode63	3627	1580	2047	1580	0	1580	0
Lib1barcode64	1874	383	1491	383	0	383	0
Lib1barcode65	4628	972	3656	972	0	972	0
Lib1barcode66	2701	572	2129	572	0	572	0
Lib1barcode67	3459	1336	2123	1336	0	1336	0
Lib1barcode68	2968	587	2381	587	0	587	0
Lib1barcode69	4730	0	4730	0	0	0	0
Lib1barcode70	1278	430	848	430	0	430	0
Lib1barcode71	4348	0	4348	0	0	0	0
Lib1barcode72	4492	381	4111	381	0	381	0
Lib1barcode73	7092	0	7092	0	0	0	0
Lib1barcode74	3643	588	3055	588	0	588	0
Lib2barcode01	2120	339	1781	339	0	339	0
Lib2barcode02	1807	0	1807	0	0	0	0
Lib2barcode03	1173	93	1080	93	0	93	0
Lib2barcode04	3160	586	2574	586	0	586	0
Lib2barcode05	3105	0	3105	0	0	0	0
Lib2barcode06	2465	707	1758	707	0	707	0
Lib2barcode07	2135	358	1777	358	0	358	0
Lib2barcode08	5648	0	5648	0	0	0	0
Lib2barcode09	1530	458	1072	458	0	458	0
Lib2barcode10	1171	504	667	504	0	504	0
Lib2barcode11	2509	0	2509	0	0	0	0
Lib2barcode12	2203	0	2203	0	0	0	0
Lib2barcode13	5568	694	4874	694	0	694	0
Lib2barcode14	1962	659	1303	659	0	659	0
Lib2barcode15	1948	423	1525	423	0	423	0
Lib2barcode16	2018	0	2018	0	0	0	0
Lib2barcode17	1930	478	1452	478	0	478	0
Lib2barcode18	2854	329	2525	329	0	329	0
Lib2barcode19	1878	289	1589	289	0	289	0
Lib2barcode20	1876	158	1718	158	0	158	0
Lib2barcode21	2033	453	1580	453	0	453	0
Lib2barcode22	1285	371	914	371	0	371	0
Lib2barcode23	3562	311	3251	311	0	311	0
Lib2barcode24	3193	1	3192	1	0	1	0
Lib2barcode25	987	274	713	274	0	274	0
Lib2barcode26	1441	391	1050	391	0	391	0
Lib2barcode27	2835	123	2712	123	0	123	0
Lib2barcode28	1098	87	1011	87	0	87	0
Lib2barcode29	1056	0	1056	0	0	0	0
Lib2barcode30	2587	608	1979	608	0	608	0
Lib2barcode31	1524	313	1211	313	0	313	0
Lib2barcode32	1173	218	955	218	0	218	0
Lib2barcode33	2845	0	2845	0	0	0	0
Lib2barcode34	385	216	169	216	0	216	0
Lib2barcode35	2318	0	2318	0	0	0	0
Lib2barcode36	4377	0	4377	0	0	0	0
Lib2barcode37	1145	318	827	318	0	318	0
Lib2barcode38	2399	0	2399	0	0	0	0
Lib2barcode39	3072	0	3072	0	0	0	0
Lib2barcode40	500	121	379	121	0	121	0
Lib2barcode41	4358	0	4358	0	0	0	0
Lib2barcode42	1574	0	1574	0	0	0	0
Lib2barcode43	2817	371	2446	371	0	371	0
Lib2barcode44	1195	0	1195	0	0	0	0
Lib2barcode45	1514	415	1099	415	0	415	0
Lib2barcode46	1993	410	1583	410	0	410	0
Lib2barcode47	1473	199	1274	199	0	199	0
Lib2barcode48	1228	231	997	231	0	231	0
Lib2barcode49	2435	0	2435	0	0	0	0
Lib2barcode50	2766	317	2449	317	0	317	0
Lib2barcode51	2572	199	2373	199	0	199	0
Lib2barcode52	1079	247	832	247	0	247	0
Lib2barcode53	1742	776	966	776	0	776	0
Lib2barcode54	2042	15	2027	15	0	15	0
Lib2barcode55	2086	176	1910	176	0	176	0
Lib2barcode56	3282	344	2938	344	0	344	0
Lib2barcode57	1285	183	1102	183	0	183	0
Lib2barcode58	3947	0	3947	0	0	0	0
Lib2barcode59	983	0	983	0	0	0	0
Lib2barcode60	1752	0	1752	0	0	0	0
Lib2barcode61	2752	0	2752	0	0	0	0
Lib2barcode62	2900	0	2900	0	0	0	0
Lib2barcode63	2467	0	2467	0	0	0	0
Lib2barcode64	1015	127	888	127	0	127	0
Lib2barcode65	1372	248	1124	248	0	248	0
Lib2barcode66	3154	0	3154	0	0	0	0
Lib2barcode67	986	121	865	121	0	121	0
Lib2barcode68	1990	0	1990	0	0	0	0
Lib2barcode69	1221	0	1221	0	0	0	0
Lib2barcode70	848	244	604	244	0	244	0
Lib2barcode71	1743	389	1354	389	0	389	0
Lib2barcode72	1303	316	987	316	0	316	0
Lib2barcode73	2452	408	2044	408	0	408	0
Lib2barcode74	2610	0	2610	0	0	0	0
Lib2barcode75	2575	192	2383	192	0	192	0
Lib2barcode76	749	60	689	23	37	57	3
Lib2barcode77	2361	1	2360	1	0	1	0
Lib2barcode78	6485	0	6485	0	0	0	0
Lib2barcode79	2369	328	2041	328	0	328	0
Lib2barcode80	392	0	392	0	0	0	0
Lib2barcode81	2655	630	2025	630	0	630	0
Lib2barcode82	1243	30	1213	15	15	26	4
Lib2barcode83	1460	0	1460	0	0	0	0
Lib2barcode84	731	0	731	0	0	0	0
Lib2barcode85	719	127	592	127	0	127	0
Lib2barcode86	1248	230	1018	230	0	230	0
Lib2barcode87	361	102	259	102	0	102	0
Lib2barcode88	884	0	884	0	0	0	0
Lib2barcode89	1494	534	960	534	0	534	0
Lib2barcode90	717	115	602	115	0	115	0
Lib2barcode91	1130	97	1033	97	0	97	0
Lib2barcode92	690	0	690	0	0	0	0
Lib2barcode93	709	0	709	0	0	0	0
Lib2barcode94	196	0	196	0	0	0	0
Lib2barcode95	782	467	315	467	0	467	0
Lib2barcode96	850	0	850	0	0	0	0
Lib3barcode01	4484	832	3652	832	0	832	0
Lib3barcode02	5090	1	5089	1	0	1	0
Lib3barcode03	1865	384	1481	384	0	384	0
Lib3barcode09	3545	629	2916	629	0	629	0
Lib3barcode10	3464	784	2680	784	0	784	0
Lib3barcode11	4136	0	4136	0	0	0	0
Lib3barcode12	2896	306	2590	306	0	306	0
Lib3barcode13	4085	1	4084	1	0	1	0
