execution	target_a	target_b	reads_a	reads_b	shared_reads	union_reads	jaccard	shared_fraction_a	shared_fraction_b
Lib1barcode41	montagem_LIB_3_HSV6	montagem_LIB_3_HSV7	0	0	0	0			
Lib1barcode41	montagem_LIB_3_HSV6	montagens_Alouatta_macconnelli_cytomegalovirus	0	0	0	0			
Lib1barcode41	montagem_LIB_3_HSV6	montagens_Alouatta_palliata_cytomegalovirus	0	0	0	0			
Lib1barcode41	montagem_LIB_3_HSV6	montagens_CALHV3	0	960	0	960	0.0		0.0
Lib1barcode41	montagem_LIB_3_HSV6	montagens_Cebus_albifrons_lymphocryptovirus_1	0	0	0	0			
Lib1barcode41	montagem_LIB_3_HSV6	montagens_consenso_H1	0	0	0	0			
Lib1barcode41	montagem_LIB_3_HSV7	montagens_Alouatta_macconnelli_cytomegalovirus	0	0	0	0			
Lib1barcode41	montagem_LIB_3_HSV7	montagens_Alouatta_palliata_cytomegalovirus	0	0	0	0			
Lib1barcode41	montagem_LIB_3_HSV7	montagens_CALHV3	0	960	0	960	0.0		0.0
Lib1barcode41	montagem_LIB_3_HSV7	montagens_Cebus_albifrons_lymphocryptovirus_1	0	0	0	0			
Lib1barcode41	montagem_LIB_3_HSV7	montagens_consenso_H1	0	0	0	0			
Lib1barcode41	montagens_Alouatta_macconnelli_cytomegalovirus	montagens_Alouatta_palliata_cytomegalovirus	0	0	0	0			
Lib1barcode41	montagens_Alouatta_macconnelli_cytomegalovirus	montagens_CALHV3	0	960	0	960	0.0		0.0
Lib1barcode41	montagens_Alouatta_macconnelli_cytomegalovirus	montagens_Cebus_albifrons_lymphocryptovirus_1	0	0	0	0			
Lib1barcode41	montagens_Alouatta_macconnelli_cytomegalovirus	montagens_consenso_H1	0	0	0	0			
Lib1barcode41	montagens_Alouatta_palliata_cytomegalovirus	montagens_CALHV3	0	960	0	960	0.0		0.0
Lib1barcode41	montagens_Alouatta_palliata_cytomegalovirus	montagens_Cebus_albifrons_lymphocryptovirus_1	0	0	0	0			
Lib1barcode41	montagens_Alouatta_palliata_cytomegalovirus	montagens_consenso_H1	0	0	0	0			
Lib1barcode41	montagens_CALHV3	montagens_Cebus_albifrons_lymphocryptovirus_1	960	0	0	960	0.0	0.0	
Lib1barcode41	montagens_CALHV3	montagens_consenso_H1	960	0	0	960	0.0	0.0	
Lib1barcode41	montagens_Cebus_albifrons_lymphocryptovirus_1	montagens_consenso_H1	0	0	0	0			
Lib1barcode42	montagem_LIB_3_HSV6	montagem_LIB_3_HSV7	0	0	0	0			
Lib1barcode42	montagem_LIB_3_HSV6	montagens_Alouatta_macconnelli_cytomegalovirus	0	0	0	0			
Lib1barcode42	montagem_LIB_3_HSV6	montagens_Alouatta_palliata_cytomegalovirus	0	0	0	0			
Lib1barcode42	montagem_LIB_3_HSV6	montagens_CALHV3	0	15	0	15	0.0		0.0
Lib1barcode42	montagem_LIB_3_HSV6	montagens_Cebus_albifrons_lymphocryptovirus_1	0	0	0	0			
Lib1barcode42	montagem_LIB_3_HSV6	montagens_consenso_H1	0	611	0	611	0.0		0.0
Lib1barcode42	montagem_LIB_3_HSV7	montagens_Alouatta_macconnelli_cytomegalovirus	0	0	0	0			
Lib1barcode42	montagem_LIB_3_HSV7	montagens_Alouatta_palliata_cytomegalovirus	0	0	0	0			
Lib1barcode42	montagem_LIB_3_HSV7	montagens_CALHV3	0	15	0	15	0.0		0.0
Lib1barcode42	montagem_LIB_3_HSV7	montagens_Cebus_albifrons_lymphocryptovirus_1	0	0	0	0			
Lib1barcode42	montagem_LIB_3_HSV7	montagens_consenso_H1	0	611	0	611	0.0		0.0
Lib1barcode42	montagens_Alouatta_macconnelli_cytomegalovirus	montagens_Alouatta_palliata_cytomegalovirus	0	0	0	0			
Lib1barcode42	montagens_Alouatta_macconnelli_cytomegalovirus	montagens_CALHV3	0	15	0	15	0.0		0.0
Lib1barcode42	montagens_Alouatta_macconnelli_cytomegalovirus	montagens_Cebus_albifrons_lymphocryptovirus_1	0	0	0	0			
Lib1barcode42	montagens_Alouatta_macconnelli_cytomegalovirus	montagens_consenso_H1	0	611	0	611	0.0		0.0
Lib1barcode42	montagens_Alouatta_palliata_cytomegalovirus	montagens_CALHV3	0	15	0	15	0.0		0.0
Lib1barcode42	montagens_Alouatta_palliata_cytomegalovirus	montagens_Cebus_albifrons_lymphocryptovirus_1	0	0	0	0			
Lib1barcode42	montagens_Alouatta_palliata_cytomegalovirus	montagens_consenso_H1	0	611	0	611	0.0		0.0
Lib1barcode42	montagens_CALHV3	montagens_Cebus_albifrons_lymphocryptovirus_1	15	0	0	15	0.0	0.0	
Lib1barcode42	montagens_CALHV3	montagens_consenso_H1	15	611	0	626	0.0	0.0	0.0
Lib1barcode42	montagens_Cebus_albifrons_lymphocryptovirus_1	montagens_consenso_H1	0	611	0	611	0.0		0.0
Lib1barcode43	montagem_LIB_3_HSV6	montagem_LIB_3_HSV7	0	0	0	0			
Lib1barcode43	montagem_LIB_3_HSV6	montagens_Alouatta_macconnelli_cytomegalovirus	0	0	0	0			
Lib1barcode43	montagem_LIB_3_HSV6	montagens_Alouatta_palliata_cytomegalovirus	0	0	0	0			
