execution	records_before	records_after	records_removed	fraction_removed	duplicate_ids_resolved	conflicting_duplicate_ids_resolved	output_ids_unique
Lib1barcode41	2831	2831	0	0.0	0	0	1
Lib1barcode42	1018	1018	0	0.0	0	0	1
Lib1barcode43	1469	1469	0	0.0	0	0	1
Lib1barcode44	477	477	0	0.0	0	0	1
Lib1barcode45	1972	1972	0	0.0	0	0	1
Lib1barcode46	2275	2275	0	0.0	0	0	1
Lib1barcode47	3162	3162	0	0.0	0	0	1
Lib1barcode48	1753	1753	0	0.0	0	0	1
Lib1barcode49	265	265	0	0.0	0	0	1
Lib1barcode50	951	951	0	0.0	0	0	1
Lib1barcode51	1235	1235	0	0.0	0	0	1
Lib1barcode52	2012	2012	0	0.0	0	0	1
Lib1barcode53	4436	4436	0	0.0	0	0	1
Lib1barcode54	2759	2759	0	0.0	0	0	1
Lib1barcode55	3035	3035	0	0.0	0	0	1
Lib1barcode56	2648	2648	0	0.0	0	0	1
Lib1barcode57	3733	3733	0	0.0	0	0	1
Lib1barcode58	6739	6739	0	0.0	0	0	1
Lib1barcode59	2863	2863	0	0.0	0	0	1
Lib1barcode60	371	371	0	0.0	0	0	1
Lib1barcode61	1828	1828	0	0.0	0	0	1
Lib1barcode62	2028	2028	0	0.0	0	0	1
Lib1barcode63	3627	3627	0	0.0	0	0	1
Lib1barcode64	1874	1874	0	0.0	0	0	1
Lib1barcode65	4628	4628	0	0.0	0	0	1
Lib1barcode66	2701	2701	0	0.0	0	0	1
Lib1barcode67	3459	3459	0	0.0	0	0	1
Lib1barcode68	2968	2968	0	0.0	0	0	1
Lib1barcode69	4730	4730	0	0.0	0	0	1
Lib1barcode70	1278	1278	0	0.0	0	0	1
Lib1barcode71	4348	4348	0	0.0	0	0	1
Lib1barcode72	4492	4492	0	0.0	0	0	1
Lib1barcode73	7092	7092	0	0.0	0	0	1
Lib1barcode74	3643	3643	0	0.0	0	0	1
Lib2barcode01	2120	2120	0	0.0	0	0	1
Lib2barcode02	1848	1807	41	0.022186	41	16	1
Lib2barcode03	1173	1173	0	0.0	0	0	1
Lib2barcode04	3634	3160	474	0.130435	474	159	1
Lib2barcode05	3105	3105	0	0.0	0	0	1
Lib2barcode06	3291	2465	826	0.250988	826	225	1
Lib2barcode07	2236	2135	101	0.04517	101	30	1
Lib2barcode08	6573	5648	925	0.140727	925	378	1
Lib2barcode09	1790	1530	260	0.145251	260	63	1
Lib2barcode10	1381	1171	210	0.152064	210	34	1
Lib2barcode11	2509	2509	0	0.0	0	0	1
Lib2barcode12	2203	2203	0	0.0	0	0	1
Lib2barcode13	5974	5568	406	0.067961	406	203	1
Lib2barcode14	1962	1962	0	0.0	0	0	1
Lib2barcode15	2023	1948	75	0.037074	75	21	1
Lib2barcode16	2018	2018	0	0.0	0	0	1
Lib2barcode17	2062	1930	132	0.064016	132	37	1
Lib2barcode18	2854	2854	0	0.0	0	0	1
Lib2barcode19	1878	1878	0	0.0	0	0	1
Lib2barcode20	1876	1876	0	0.0	0	0	1
Lib2barcode21	2087	2033	54	0.025874	54	4	1
Lib2barcode22	1437	1285	152	0.105776	152	31	1
Lib2barcode23	3562	3562	0	0.0	0	0	1
Lib2barcode24	3193	3193	0	0.0	0	0	1
Lib2barcode25	1027	987	40	0.038948	40	16	1
Lib2barcode26	1479	1441	38	0.025693	38	10	1
Lib2barcode27	3326	2835	491	0.147625	491	68	1
Lib2barcode28	1098	1098	0	0.0	0	0	1
Lib2barcode29	1056	1056	0	0.0	0	0	1
Lib2barcode30	3144	2587	557	0.177163	557	176	1
Lib2barcode31	1790	1524	266	0.148603	266	91	1
Lib2barcode32	1179	1173	6	0.005089	6	1	1
Lib2barcode33	2845	2845	0	0.0	0	0	1
Lib2barcode34	385	385	0	0.0	0	0	1
Lib2barcode35	2318	2318	0	0.0	0	0	1
Lib2barcode36	4377	4377	0	0.0	0	0	1
Lib2barcode37	1145	1145	0	0.0	0	0	1
Lib2barcode38	2399	2399	0	0.0	0	0	1
Lib2barcode39	3072	3072	0	0.0	0	0	1
Lib2barcode40	500	500	0	0.0	0	0	1
Lib2barcode41	4514	4358	156	0.034559	156	80	1
Lib2barcode42	1574	1574	0	0.0	0	0	1
Lib2barcode43	2902	2817	85	0.02929	85	33	1
Lib2barcode44	1195	1195	0	0.0	0	0	1
Lib2barcode45	1583	1514	69	0.043588	69	20	1
Lib2barcode46	2227	1993	234	0.105074	234	100	1
Lib2barcode47	1473	1473	0	0.0	0	0	1
Lib2barcode48	1228	1228	0	0.0	0	0	1
Lib2barcode49	2435	2435	0	0.0	0	0	1
Lib2barcode50	2972	2766	206	0.069314	206	106	1
Lib2barcode51	2572	2572	0	0.0	0	0	1
Lib2barcode52	1089	1079	10	0.009183	10	1	1
Lib2barcode53	1991	1742	249	0.125063	249	95	1
Lib2barcode54	2042	2042	0	0.0	0	0	1
Lib2barcode55	2086	2086	0	0.0	0	0	1
Lib2barcode56	3679	3282	397	0.10791	397	140	1
Lib2barcode57	1285	1285	0	0.0	0	0	1
Lib2barcode58	4185	3947	238	0.05687	238	92	1
Lib2barcode59	983	983	0	0.0	0	0	1
Lib2barcode60	1752	1752	0	0.0	0	0	1
Lib2barcode61	2752	2752	0	0.0	0	0	1
Lib2barcode62	2900	2900	0	0.0	0	0	1
Lib2barcode63	2467	2467	0	0.0	0	0	1
Lib2barcode64	1015	1015	0	0.0	0	0	1
Lib2barcode65	1422	1372	50	0.035162	50	28	1
Lib2barcode66	3154	3154	0	0.0	0	0	1
Lib2barcode67	986	986	0	0.0	0	0	1
Lib2barcode68	1990	1990	0	0.0	0	0	1
Lib2barcode69	1221	1221	0	0.0	0	0	1
Lib2barcode70	848	848	0	0.0	0	0	1
Lib2barcode71	1946	1743	203	0.104317	203	77	1
Lib2barcode72	1303	1303	0	0.0	0	0	1
Lib2barcode73	2452	2452	0	0.0	0	0	1
Lib2barcode74	2626	2610	16	0.006093	16	5	1
Lib2barcode75	2893	2575	318	0.10992	318	96	1
Lib2barcode76	749	749	0	0.0	0	0	1
Lib2barcode77	2389	2361	28	0.01172	28	10	1
Lib2barcode78	8327	6485	1842	0.221208	1842	701	1
Lib2barcode79	2369	2369	0	0.0	0	0	1
Lib2barcode80	392	392	0	0.0	0	0	1
Lib2barcode81	3162	2655	507	0.160342	507	197	1
Lib2barcode82	1243	1243	0	0.0	0	0	1
Lib2barcode83	1464	1460	4	0.002732	4	2	1
Lib2barcode84	731	731	0	0.0	0	0	1
Lib2barcode85	719	719	0	0.0	0	0	1
Lib2barcode86	1248	1248	0	0.0	0	0	1
Lib2barcode87	361	361	0	0.0	0	0	1
Lib2barcode88	884	884	0	0.0	0	0	1
Lib2barcode89	1494	1494	0	0.0	0	0	1
Lib2barcode90	717	717	0	0.0	0	0	1
