execution	reads_filtradas	reads_amostradas	reads_reverse_complementadas	percentual_reverse_complementadas	sequencias_unicas	percentual_sequencias_unicas	numero_comparacoes	divergencia_media	divergencia_mediana	divergencia_dp	divergencia_q25	divergencia_q75	pares_menor_igual_1pct	pares_menor_igual_3pct	pares_menor_igual_5pct	PCoA1_var_pct	PCoA2_var_pct	cmdscale_additive_constant
Lib1barcode41	1689	300	212	70.6666666666667	300	100	44850	39.89488482527	48.3552631578947	16.5796485301782	21.875	51.6304347826087	0	0.0356744704570792	0.448160535117057	11.4127495742902	3.09396877829148	112.262722046074
Lib1barcode42	685	300	174	58	300	100	44850	40.7337463044394	47.2103004291845	16.1893957550377	23.2456140350877	52.9411764705882	0	0	0.0602006688963211	13.9248720147648	5.88739702493806	99.719174320503
Lib1barcode43	1001	300	24	8	300	100	44850	31.3137003401599	26.1261261261261	18.3283211512516	13.3333333333333	50	0	0.0512820512820513	1.31995540691193	13.1309441197314	2.79937536738191	74.3272803580995
Lib1barcode44	286	286	82	28.6713286713287	286	100	40755	40.9397364706022	49.3112947658402	16.1651695647396	23.3192718764955	52.2222222222222	0	0.0196294933137038	0.228192859771807	13.139974364817	4.13909339342486	97.5477164721894
Lib1barcode45	1065	300	170	56.6666666666667	300	100	44850	44.3811738596369	50.5338078291815	14.8900661800712	44.7826086956522	53.4375	0	0.0133779264214047	0.343366778149387	8.82047467313579	2.1489823567874	141.747131197216
Lib1barcode46	1211	300	93	31	300	100	44850	42.9947622787796	50.6493506493506	16.4440890148474	41.8577506683234	53.6277602523659	0.00445930880713489	0.133779264214047	0.762541806020067	10.235038831687	2.10242729071148	123.345129456033
Lib1barcode47	1282	300	107	35.6666666666667	300	100	44850	49.0325777317582	51.1749347258486	9.54279517699867	48.0349344978166	53.5825545171339	0	0.0222965440356745	0.236343366778149	5.27236273042479	1.76751125629569	190.991416167678
Lib1barcode48	975	300	62	20.6666666666667	300	100	44850	47.4615458838606	49.6666666666667	9.56642941766537	46.4912280701754	52.3333333333333	0	0.00891861761426979	0.0824972129319956	6.32744037427479	3.05290712566652	151.25601519439
Lib1barcode49	151	151	102	67.5496688741722	151	100	11325	43.0342840439239	49.4296577946768	15.1303976554904	43.8202247191011	52.4793388429752	0	0	0.158940397350993	18.9051394173522	5.40991179109374	42.94140663128
Lib1barcode50	609	300	38	12.6666666666667	300	100	44850	32.8767458159258	28.4517802074572	18.4422980261081	14.9606299212598	51.8817204301075	0	0.00891861761426979	0.374581939799331	12.1066954560481	2.99765947042319	88.0692946380193
Lib1barcode51	879	300	33	11	300	100	44850	31.8754190416892	25.4464285714286	18.4689553736175	13.6563876651982	51.004016064257	0	0.0178372352285396	0.599777034559643	13.5809325382856	2.62861360272744	73.6102829451829
Lib1barcode52	1116	300	200	66.6666666666667	300	100	44850	42.8960677856077	49.1150442477876	14.5047461793002	43.5897435897436	51.9230769230769	0	0.0133779264214047	0.136008918617614	8.98189888403497	2.54146184419332	138.543993565995
Lib1barcode53	2420	300	180	60	300	100	44850	43.8406316048283	49.7816593886463	15.6287906093572	44.8559670781893	53.2967032967033	0	0.0178372352285396	0.494983277591973	9.45304545951037	2.23267656532178	133.204457230285
Lib1barcode54	1460	300	109	36.3333333333333	300	100	44850	40.4749294557425	49.1467576791809	17.0159440232634	21.7777777777778	52.5745257452574	0	0.0824972129319956	0.874024526198439	10.0381437647038	1.85528159834686	125.150223944578
Lib1barcode55	1269	300	110	36.6666666666667	300	100	44850	47.573527859333	50.6666666666667	11.5821554162776	47.0319634703196	53.4798534798535	0	0.0289855072463768	0.260869565217391	5.95993661820784	1.97025873468946	187.646747134732
Lib1barcode56	1474	300	210	70	300	100	44850	47.5538017868481	49.8559077809798	9.86331856297482	46.7455621301775	52.5	0	0.00891861761426979	0.107023411371237	7.00341728117315	3.28366522223087	133.86109362083
Lib1barcode57	2581	300	99	33	300	100	44850	29.4427001442902	21.9298245614035	18.2190064490439	12.7753303964758	49.5677233429395	0	0.111482720178372	1.52508361204013	11.5748634580075	2.26090502570992	85.7821333045831
Lib1barcode58	3423	300	118	39.3333333333333	300	100	44850	51.0013245445261	52.3929471032746	7.55639752170407	49.5726495726496	54.8556430446194	0	0.00222965440356745	0.0222965440356745	5.37765517252975	2.29237137158366	156.660412046892
Lib1barcode59	2133	300	115	38.3333333333333	300	100	44850	33.1168347304001	44.4055944055944	18.6290500515457	13.8528138528139	50.3623188405797	0	0.115942028985507	1.86845039018952	13.902039661862	3.23107152736526	80.045385429008
Lib1barcode60	264	264	75	28.4090909090909	264	100	34716	28.5426238641252	21.1320754716981	17.3563939988538	13.1578947368421	47.9249630466916	0	0.0662518723355225	1.20693628298191	12.245367739859	3.34177449423611	73.7006635782918
Lib1barcode61	1360	300	84	28	300	100	44850	27.8791470167444	19.6428571428571	18.1949704548061	12.0171673819742	49.1525423728814	0	0.138238573021182	2.13823857302118	15.8687980145349	3.27271077658074	56.5089520262947
Lib1barcode62	1548	300	90	30	300	100	44850	29.1796067503331	20.6140350877193	18.56172248251	11.8421052631579	48.9082969432314	0	0.0624303232998885	1.94425863991081	14.7582872726293	3.6145981943326	63.4926333882666
Lib1barcode63	2418	300	106	35.3333333333333	300	100	44850	34.7631369724227	46.5201465201465	18.5002568458218	14.7859922178988	50.6775067750677	0	0.0981047937569677	1.59866220735786	11.7502945407718	1.99758323139581	103.656350657718
Lib1barcode64	1001	300	63	21	300	100	44850	46.2570912861574	49.8637602179836	12.0317743073622	46.4788732394366	52.6595744680851	0.00222965440356745	0.0156075808249721	0.41025641025641	8.27546680065607	4.18427438812195	140.178280371057
Lib1barcode65	2702	300	217	72.3333333333333	300	100	44850	47.6113189761887	50.5235602094241	10.6691195451369	47.5409836065574	53.1088082901554	0	0	0.0356744704570792	7.07848735637223	2.85069832918124	147.403989706572
Lib1barcode66	1561	300	191	63.6666666666667	300	100	44850	45.9601864126138	49.8498498498498	12.4051757771341	46.5587044534413	52.5641025641026	0	0.0312151616499443	0.301003344481605	7.91769580147823	2.49706517075707	143.175906962726
Lib1barcode67	2227	300	194	64.6666666666667	300	100	44850	38.6886817743409	47.9233226837061	17.2574353050832	19.3050193050193	51.0373443983402	0	0.0758082497212932	1.81716833890747	11.2494477447654	2.58216719302297	112.284407342693
Lib1barcode68	1703	300	88	29.3333333333333	300	100	44850	46.9022274465273	50.6666666666667	12.009034071169	46.9827586206897	52.9850746268657	0	0.0691192865105908	0.688963210702341	7.8397381658338	3.24352545820663	138.464926017754
Lib1barcode69	2526	300	169	56.3333333333333	300	100	44850	49.509874878363	51.1013215859031	8.14370688791021	48.5294117647059	53.3672528895974	0	0.00222965440356745	0.0267558528428094	4.91198895175317	3.72622638980295	144.993277691299
Lib1barcode70	716	300	109	36.3333333333333	300	100	44850	40.1213808267439	50.4885993485342	18.2612311671888	18.5840707964602	53.0944625407166	0	0.0668896321070234	1.45373467112598	12.4611174306375	2.73560457256655	110.529461891146
Lib1barcode71	2124	300	163	54.3333333333333	300	100	44850	51.4589584992104	52.3560209424084	6.50109874225272	50.2079029149812	54.4025157232704	0	0.00445930880713489	0.0312151616499443	3.57017310545046	2.34080691248847	185.53355012819
Lib1barcode72	2377	300	98	32.6666666666667	300	100	44850	49.4730865749577	51.0971786833856	7.9816226692576	48.4126984126984	53.2981530343008	0	0	0.0245261984392419	5.28057051161581	3.39284226716719	153.935224061874
Lib1barcode73	3866	300	85	28.3333333333333	300	100	44850	47.3994337092326	50	9.71075207911853	47.2527472527472	52.4861878453039	0	0	0.0245261984392419	6.50940859802175	1.84792873286677	160.18742403112
Lib1barcode74	1784	300	81	27	300	100	44850	48.442187969657	51.5243902439024	11.43760259934	48.3720930232558	53.968253968254	0	0.0222965440356745	0.287625418060201	5.97436941809877	1.7960975455618	196.003662044297
Lib2barcode01	1105	300	94	31.3333333333333	300	100	44850	50.0654377028748	52.8962391682795	11.2510401337627	50.4385964912281	55.1319648093842	0	0.0334448160535117	0.570791527313266	5.90219263962346	1.63995253698097	207.878017588
Lib2barcode02	935	300	76	25.3333333333333	300	100	44850	50.8229835746775	51.8324607329843	7.03490142404407	49.2581602373887	54.228855721393	0	0.00222965440356745	0.0691192865105908	3.54124057416905	2.4765473466729	200.428905056418
Lib2barcode03	536	300	112	37.3333333333333	300	100	44850	52.0885307446243	53.1847133757962	7.51399315167059	51.1976047904192	55.1851851851852	0	0.0312151616499443	0.214046822742475	3.91516407731595	1.43009180461386	239.002017557109
Lib2barcode04	1655	300	77	25.6666666666667	300	100	44850	48.4440702629913	52.0661157024793	12.2685783497593	49.3212669683258	54.093567251462	0	0.064659977703456	0.711259754738016	6.97603535237823	1.8183034883876	179.923848396002
Lib2barcode05	1325	300	126	42	300	100	44850	53.1687369813005	53.2763532763533	4.05159860058854	51.6260162601626	55.0522648083624	0	0.00668896321070234	0.0423634336677815	1.75455833423606	1.16287364384805	263.128324726196
Lib2barcode06	1554	300	57	19	300	100	44850	42.5197566172798	50.8620689655172	17.0368747445922	43.8329315585368	53.1034482758621	0	0.21850613154961	2.16053511705686	9.98362070867692	1.39060969501399	144.854044539804
Lib2barcode07	1245	300	83	27.6666666666667	300	100	44850	49.1913383551496	51.702786377709	10.765812686636	49.1961414790997	53.6931818181818	0.00222965440356745	0.265328874024526	1.58974358974359	5.91806967887655	1.38720075130581	200.694588154543
Lib2barcode08	2700	300	91	30.3333333333333	300	100	44850	52.5286577508253	52.914798206278	4.74690728503683	50.8108108108108	54.9218685747183	0	0.00668896321070234	0.0312151616499443	2.04305463718373	1.55457097113991	235.722189969253
Lib2barcode09	944	300	62	20.6666666666667	300	100	44850	43.7011424544417	50.6289308176101	16.237775054346	46.7532467532467	52.901023890785	0	0.292084726867336	2.82274247491639	10.0566207095568	1.45283910539739	142.136783183603
Lib2barcode10	805	300	52	17.3333333333333	300	100	44850	37.9344115916668	48.5955056179775	18.6106344582702	16.7400881057269	52.5	0.00222965440356745	0.136008918617614	1.93756967670011	10.47729982579	1.57522954912684	130.387332142671
Lib2barcode11	986	300	116	38.6666666666667	300	100	44850	53.3366578031223	53.3123028391167	3.41019695205512	51.6447368421053	55.1246537396122	0	0	0.00222965440356745	1.26506470715644	1.04843391072616	281.81289216737
Lib2barcode12	1017	300	65	21.6666666666667	300	100	44850	53.5579603927699	53.6656891495601	4.3112969124924	51.8134715025907	55.7184750733138	0.00222965440356745	0.0111482720178372	0.0178372352285396	1.67394201727828	1.29279723145994	282.545471957175
Lib2barcode13	2292	300	86	28.6666666666667	300	100	44850	48.7959338406425	52.9051987767584	14.1890776224797	50.251256281407	55.5	0	0.247491638795987	2.59531772575251	8.930636746522	1.68431157366516	172.569816271801
Lib2barcode14	1178	300	64	21.3333333333333	300	100	44850	41.3280972000417	50.6596306068602	18.7359645491318	24.5689655172414	53.7162162162162	0	0.245261984392419	3.11928651059086	11.6335576638469	1.58437972617478	133.490885801136
Lib2barcode15	1068	300	79	26.3333333333333	300	100	44850	49.1918070732455	52.1164021164021	11.0027318425652	48.7719298245614	54.4910179640719	0	0.0133779264214047	0.365663322185061	6.73390632255636	4.31906854767532	154.307703356197
Lib2barcode16	755	300	126	42	300	100	44850	52.7834808186265	52.9605263157895	4.28420121021301	51.1936339522546	54.863813229572	0	0.00222965440356745	0.0245261984392419	1.85121132615235	1.25260045007253	269.162844399115
Lib2barcode17	1128	300	95	31.6666666666667	300	100	44850	47.2014640516852	51.6014234875445	13.1347570536923	48.8388896357037	53.4412955465587	0.00222965440356745	0.169453734671126	1.25083612040134	7.08251643025892	1.12102743995283	196.635221875217
Lib2barcode18	1080	300	159	53	300	100	44850	50.2984339103248	52.991452991453	11.1989922398945	50.8771929824561	54.9872122762148	0	0.118171683389075	0.967670011148272	6.0430739845153	1.28193444557262	212.955833882509
Lib2barcode19	896	300	76	25.3333333333333	300	100	44850	49.0971350381287	52.6315789473684	12.568095425682	50.3571428571429	54.5706371191136	0.00222965440356745	0.171683389074693	1.40691192865106	6.82226260714011	1.32108503698585	201.88154039888
Lib2barcode20	707	300	123	41	300	100	44850	52.3899155366513	53.1073446327684	6.98572750961566	51.4851485148515	55	0	0.00668896321070234	0.20958751393534	3.09332528979424	2.97356046895942	232.060416994123
Lib2barcode21	1096	300	49	16.3333333333333	300	100	44850	42.0240426493477	49.1150442477876	16.491932459027	45.3710613598673	51.8062413588781	0	0.356744704570792	3.17279821627648	9.22305505900002	1.54913127631271	158.744392965563
Lib2barcode22	782	300	67	22.3333333333333	300	100	44850	44.3979533001832	51.6717325227964	16.6767281419888	47.136563876652	54.089709762533	0	0.0824972129319956	1.64102564102564	8.81385932718093	1.45895565642481	167.663255967505
Lib2barcode23	1471	300	144	48	300	100	44850	52.1324677853013	53.1645569620253	7.4328915328737	51.2820512820513	55.0500937715921	0.00222965440356745	0.140468227424749	0.588628762541806	3.89828122563048	2.07485129779192	215.718469336081
Lib2barcode24	1123	300	151	50.3333333333333	300	100	44850	52.7394935543172	52.9940119760479	4.78837842893114	51.1705685618729	54.9206349206349	0	0.0178372352285396	0.0490523968784838	1.87646499083109	1.41439490638155	269.106042338462
Lib2barcode25	451	300	70	23.3333333333333	300	100	44850	40.7487037731734	51.1904761904762	18.699956634125	19.0045248868778	53.8860103626943	0	0.160535117056856	1.95094760312152	10.3660451750674	1.36374873781874	142.468358336412
Lib2barcode26	867	300	67	22.3333333333333	300	100	44850	44.4901969092853	50.8021390374332	15.3712560838163	46.4646464646465	53.0513318638622	0	0.12263099219621	1.46042363433668	9.26885809698365	1.61476177015205	147.513162424048
Lib2barcode27	1369	300	71	23.6666666666667	300	100	44850	48.6590627481176	51.2719568567026	10.2701424218597	48.1751824817518	53.5211267605634	0	0.0267558528428094	0.216276477146042	5.48436850841274	2.4855096044457	198.817728077567
Lib2barcode28	505	300	158	52.6666666666667	300	100	44850	51.594120268113	52.9569892473118	8.46028749369873	51.1551155115512	54.8484848484848	0.00222965440356745	0.156075808249721	0.617614269788183	4.71116848605536	3.34583240147537	187.637186266628
Lib2barcode29	445	300	160	53.3333333333333	300	100	44850	52.5039676892671	52.5735294117647	3.57456595467031	50.8710801393728	54.3650793650794	0	0	0.00668896321070234	1.29231785545674	1.0950213772225	289.364196589216
Lib2barcode30	1545	300	63	21	300	100	44850	46.0171788909338	51.304347826087	14.5543955806405	47.8927203065134	53.5353535353535	0	0.20958751393534	1.58082497212932	7.80318774965166	1.43114495047991	180.650343907604
Lib2barcode31	830	300	57	19	300	100	44850	46.8125347511182	51.1013215859031	13.5874696267813	47.7099236641221	53.763440860215	0.00222965440356745	0.198439241917503	1.36900780379041	7.25606921841881	1.47779116685166	188.36047068454
Lib2barcode32	628	300	78	26	300	100	44850	47.929339680129	51.9061583577713	12.5646140722703	48.9130434782609	53.9944903581267	0.00222965440356745	0.0914158305462653	0.784838350055741	7.12563178904818	1.68297280598979	181.018685675872
Lib2barcode33	961	300	90	30	300	100	44850	51.5741996521857	52.5835866261398	6.53925608502344	50.6122448979592	54.380664652568	0	0.00891861761426979	0.0423634336677815	3.45844781473663	1.42827766103778	219.063527574397
Lib2barcode34	279	279	65	23.2974910394265	279	100	38781	29.8996046905602	21.875	19.3732121617387	11.8421052631579	50.9345794392523	0.00257858229545396	0.353265774477192	3.05046285552203	13.4851873860554	3.11049726630464	74.8192597386957
Lib2barcode35	766	300	102	34	300	100	44850	52.8008588423448	53.125	5.37122087836529	51.2820512820513	55.2023121387283	0	0.00891861761426979	0.0512820512820513	2.25231816596602	1.73572542734493	260.029778504769
Lib2barcode36	1750	300	106	35.3333333333333	300	100	44850	53.2124879225763	53.2981530343008	4.20468552806549	51.5418502202643	55.2424233642219	0	0.0133779264214047	0.0668896321070234	1.4337136632714	1.24808182946012	295.419483998008
Lib2barcode37	705	300	234	78	300	100	44850	43.8720654339192	50.761421319797	16.4298268064736	46.6844418490288	53.2738095238095	0.00445930880713489	0.421404682274247	2.88963210702341	9.68552121928659	1.66233755297371	151.751546420019
Lib2barcode38	1179	300	63	21	300	100	44850	49.1121234503045	50.7598784194529	8.68479637478911	48.0769230769231	53.315649867374	0	0.0423634336677815	0.176142697881828	5.64853998226223	1.9228568586765	167.022726351907
Lib2barcode39	996	300	121	40.3333333333333	300	100	44850	53.1793916472476	53.1506849315069	3.33858357556285	51.5706806282722	54.8780487804878	0	0.0133779264214047	0.0512820512820513	1.16847879020342	1.04422478636006	293.200941567769
Lib2barcode40	277	277	62	22.3826714801444	277	100	38226	45.5064351570321	51.3202014054114	15.0367556360209	48.0113636363636	53.4133566908584	0.0026160205096008	0.0994087793648302	1.21644953696437	9.07973950820342	1.51598989350349	151.15369256047
Lib2barcode41	1796	300	129	43	300	100	44850	52.3414029589799	52.7777777777778	5.25185233400699	50.7692307692308	54.7770700636943	0	0.0356744704570792	0.107023411371237	2.32134418461617	1.7308752384151	234.069987288335
Lib2barcode42	651	300	130	43.3333333333333	300	100	44850	52.7573554154036	52.887537993921	3.81299705068367	51.25	54.5787545787546	0	0.0133779264214047	0.0445930880713489	1.35639724485145	1.19819493955832	275.935836691464
Lib2barcode43	1230	300	113	37.6666666666667	300	100	44850	50.1981326195155	52.8384279475983	10.9230819897849	50.8816120906801	54.6589298279607	0	0.0512820512820513	0.622073578595318	6.12030627013254	1.36259027526345	212.83073526412
Lib2barcode44	615	300	85	28.3333333333333	300	100	44850	49.2109552604927	51.8143265103712	10.7251100490242	49.3333333333333	53.9473684210526	0	0.00668896321070234	0.118171683389075	6.41537585341822	1.56926616403017	193.116236499421
Lib2barcode45	859	300	79	26.3333333333333	300	100	44850	44.78171945885	51.5789473684211	15.5322988272393	47.9495268138801	53.416149068323	0	0.0824972129319956	1.09921962095875	9.00566451866031	1.25183492914385	167.892528353101
Lib2barcode46	986	300	84	28	300	100	44850	47.3810573805033	51.9756838905775	13.7328860751694	49.3702770780856	53.921568627451	0	0.133779264214047	1.1304347826087	7.56038242775931	1.20608492402125	185.187099391135
Lib2barcode47	588	300	66	22	300	100	44850	47.8126584392969	52.3676880222841	13.4969634469702	49.6062992125984	54.320987654321	0	0.0624303232998885	0.693422519509476	7.60386305729791	1.51894867251267	181.162698675981
Lib2barcode48	717	300	64	21.3333333333333	300	100	44850	47.3940890075932	51.528384279476	13.056308634152	48.4293193717278	53.5928143712575	0	0.167224080267559	1.38907469342252	8.41130007425608	1.63820119549723	152.001434675004
Lib2barcode49	920	300	102	34	300	100	44850	51.9245576931285	52.3364485981308	4.48378496916676	50.3731343283582	54.1516245487365	0	0.00891861761426979	0.0423634336677815	1.91371055137151	1.29332899354944	243.172729903796
Lib2barcode50	1159	300	86	28.6666666666667	300	100	44850	49.3648962165363	52.2935779816514	11.2493783175434	49.7991967871486	54.1818181818182	0	0.111482720178372	1.15942028985507	6.54409273952616	1.36761769389694	189.828632967476
Lib2barcode51	1006	300	165	55	300	100	44850	51.3863524098155	52.6946107784431	8.37137212688819	50.7874015748031	54.585152838428	0	0.140468227424749	0.827201783723523	4.80168728357368	1.70400771435731	203.989347104637
Lib2barcode52	670	300	224	74.6666666666667	300	100	44850	46.6179503055131	51.3833992094862	13.3946356870242	47.3451327433628	53.5460992907801	0	0.109253065774805	1.16387959866221	6.73451943730291	4.03165494912817	189.117547257061
Lib2barcode53	1065	300	170	56.6666666666667	300	100	44850	43.21716999	49.3456916973485	17.0889820554628	43.4102082128398	54.8523206751055	0	0.0579710144927536	0.862876254180602	12.0048977391336	6.18847079101246	120.000094845978
Lib2barcode54	818	300	127	42.3333333333333	300	100	44850	53.0771556720598	53.0821917808219	3.61306954514405	51.3784461152882	54.9618320610687	0	0	0.00445930880713489	1.38065717614139	1.09588878545145	287.934154077706
Lib2barcode55	989	300	115	38.3333333333333	300	100	44850	51.268187109068	52.411575562701	7.12637883933468	50.3164556962025	54.1310541310541	0	0.100334448160535	0.552954292084727	3.86825290764278	1.43523212978861	210.315688179234
Lib2barcode56	1536	300	79	26.3333333333333	300	100	44850	49.7644055681562	51.7341040462428	9.33469355868714	48.9864864864865	53.775722510403	0	0.0802675585284281	0.668896321070234	5.20223448824061	1.42756019434308	207.297358506619
Lib2barcode57	522	300	108	36	300	100	44850	48.8411926412132	52.6153846153846	12.7211885823463	50.3552431610942	54.4747081712062	0	0.12263099219621	0.929765886287625	7.04031788501195	1.27567889405125	197.403381832939
Lib2barcode58	1894	300	112	37.3333333333333	300	100	44850	52.3939330204696	52.6958531070639	4.6792145678202	50.7005318625037	54.6783625730994	0.00222965440356745	0.0133779264214047	0.0289855072463768	2.07843571090358	1.34268390485509	250.219391576684
Lib2barcode59	479	300	142	47.3333333333333	300	100	44850	52.3171453706957	52.5252525252525	4.19971102164488	50.6410256410256	54.4642857142857	0	0	0.0178372352285396	1.86540886472397	1.27441255521105	243.064109398722
Lib2barcode60	691	300	137	45.6666666666667	300	100	44850	51.8747985524204	52.2012578616352	5.07625003517282	50.3937007874016	54.0816326530612	0	0.0222965440356745	0.0691192865105908	1.86455428956494	1.76005984054525	255.007689467928
Lib2barcode61	1234	300	155	51.6666666666667	300	100	44850	52.063414898063	52.3076923076923	4.14122752757824	50.3778337531486	54.1538461538462	0	0.00222965440356745	0.0289855072463768	1.79064186043258	1.36198639970822	227.435366840917
Lib2barcode62	1259	300	126	42	300	100	44850	53.0540076792939	53.0612244897959	3.62034835279901	51.3513513513513	54.957507082153	0	0	0.0111482720178372	1.3955467291951	1.14945715136097	261.722556640527
Lib2barcode63	923	300	138	46	300	100	44850	53.3164231371974	53.2915360501567	3.52428890192733	51.5901060070671	55.2083333333333	0	0.00445930880713489	0.0133779264214047	1.21894003463442	0.997891869910376	312.444519891941
Lib2barcode64	392	300	73	24.3333333333333	300	100	44850	48.7932842645476	52.2388059701493	11.9652324738473	49.5089977038501	54.2416452442159	0	0.0735785953177257	0.555183946488294	6.95797984016083	1.69923025757941	181.590190313682
Lib2barcode65	570	300	136	45.3333333333333	300	100	44850	50.6829066446507	52.7638190954774	9.43144749379309	50.8547008547009	54.7008547008547	0	0	0.0267558528428094	5.42584463746654	2.33587888955716	197.40642407355
Lib2barcode66	1082	300	110	36.6666666666667	300	100	44850	52.0494401777588	52.5333333333333	5.26032792808513	50.4	54.5161290322581	0	0.0334448160535117	0.0914158305462653	1.90505102873316	1.78039064973225	229.263561903387
Lib2barcode67	320	300	156	52	300	100	44850	49.3477620762505	53.11004784689	12.7039590940988	50.8389293305494	55.2631578947368	0	0.0602006688963211	0.479375696767001	7.52319145919677	1.35653199982366	181.900891543058
Lib2barcode68	910	300	128	42.6666666666667	300	100	44850	51.4849420801641	52.8409090909091	8.66253119973086	50.8474576271186	54.9407114624506	0	0.0334448160535117	0.472686733556299	4.9084988199996	2.55000847341124	216.17955516304
Lib2barcode69	495	300	105	35	300	100	44850	52.2269643989413	52.4916943521595	4.58215314511073	50.6122448979592	54.3766578249337	0	0.0222965440356745	0.0780379041248607	1.80449590487874	1.51445385982946	231.005094126565
Lib2barcode70	502	300	51	17	300	100	44850	41.3343652159518	50.1607717041801	18.0325357115768	43.8247011952191	52.6315789473684	0.00891861761426979	0.521739130434783	3.75919732441472	9.94666702908843	1.26641299112378	153.774274642079
Lib2barcode71	926	300	77	25.6666666666667	300	100	44850	47.0990433710663	51.7374517374517	13.3016442591961	48.5294117647059	53.7117903930131	0	0.118171683389075	0.992196209587514	7.23961686533216	1.21304477836049	189.694684797118
Lib2barcode72	778	300	63	21	300	100	44850	45.8255163466172	51.5235457063712	15.036328294699	48.046875	53.5816618911175	0.00222965440356745	0.280936454849498	1.97547380156076	7.43077989898058	1.59102313946034	200.960334949362
Lib2barcode73	1266	300	92	30.6666666666667	300	100	44850	47.2138386915974	51.1450381679389	13.0210447035233	48.2300884955752	53.4013605442177	0.00445930880713489	0.301003344481605	2.35897435897436	7.4961699240503	1.52238457161515	172.599708658983
Lib2barcode74	1370	300	150	50	300	100	44850	49.6957135079817	53.0154741963787	12.1650039280895	50.5154639175258	55.2631578947368	0	0.0914158305462653	0.608695652173913	8.21279005421631	4.82157824089683	164.96843421289
Lib2barcode75	1291	300	115	38.3333333333333	300	100	44850	52.4654746057251	53.3333333333333	6.49525102961924	50.8771929824561	55.5555555555556	0	0.00222965440356745	0.0468227424749164	2.87421084613461	1.85259377755942	247.537486720717
Lib2barcode76	397	300	68	22.6666666666667	300	100	44850	47.3898302191672	52.0161290322581	13.1616475160297	47.6190476190476	54.1484716157205	0	0.211817168338907	1.17056856187291	7.03073028019222	5.28870368782035	166.051306899062
Lib2barcode77	1250	300	90	30	300	100	44850	47.5949672796883	52.2222222222222	13.1637492863042	49.0909090909091	54.2056074766355	0	0.084726867335563	0.588628762541806	7.57828008923703	1.68281337325279	171.425511306048
Lib2barcode78	3736	300	104	34.6666666666667	300	100	44850	47.9193582162734	51.4511873350923	12.335529546498	48.4375	53.9568345323741	0	0.0245261984392419	0.336677814938684	7.78828789537726	1.55272813684465	170.443045726551
