execution	input_reads	mapped_any_target	mapped_fraction	multitarget_reads	multitarget_fraction_of_mapped	tied_best_AS_reads	tied_fraction_of_mapped	has_multitarget	has_tied_best
Lib1barcode41	2831	960	0.33910279	0	0.0	0	0.0	0	0
Lib1barcode42	1018	626	0.61493124	0	0.0	0	0.0	0	0
Lib1barcode43	1469	783	0.53301566	0	0.0	0	0.0	0	0
Lib1barcode44	477	157	0.32914046	0	0.0	0	0.0	0	0
Lib1barcode45	1972	470	0.23833671	0	0.0	0	0.0	0	0
Lib1barcode46	2275	620	0.27252747	0	0.0	0	0.0	0	0
Lib1barcode47	3162	409	0.12934851	0	0.0	0	0.0	0	0
Lib1barcode48	1753	229	0.1306332	0	0.0	0	0.0	0	0
Lib1barcode49	265	77	0.29056604	0	0.0	0	0.0	0	0
Lib1barcode50	951	586	0.61619348	0	0.0	0	0.0	0	0
Lib1barcode51	1235	742	0.60080972	0	0.0	0	0.0	0	0
Lib1barcode52	2012	622	0.30914513	0	0.0	0	0.0	0	0
Lib1barcode53	4436	1082	0.24391344	0	0.0	0	0.0	0	0
Lib1barcode54	2759	801	0.29032258	0	0.0	0	0.0	0	0
Lib1barcode55	3035	416	0.13706755	0	0.0	0	0.0	0	0
Lib1barcode56	2648	374	0.14123867	0	0.0	0	0.0	0	0
Lib1barcode57	3733	2190	0.58665952	0	0.0	0	0.0	0	0
Lib1barcode58	6739	446	0.06618193	0	0.0	0	0.0	0	0
Lib1barcode59	2863	1543	0.53894516	0	0.0	0	0.0	0	0
Lib1barcode60	371	214	0.57681941	0	0.0	0	0.0	0	0
Lib1barcode61	1828	1109	0.60667396	0	0.0	0	0.0	0	0
Lib1barcode62	2028	1207	0.59516765	0	0.0	0	0.0	0	0
Lib1barcode63	3627	1580	0.43562173	0	0.0	0	0.0	0	0
Lib1barcode64	1874	383	0.20437567	0	0.0	0	0.0	0	0
Lib1barcode65	4628	972	0.21002593	0	0.0	0	0.0	0	0
Lib1barcode66	2701	572	0.21177342	0	0.0	0	0.0	0	0
Lib1barcode67	3459	1336	0.3862388	0	0.0	0	0.0	0	0
Lib1barcode68	2968	587	0.19777628	0	0.0	0	0.0	0	0
Lib1barcode69	4730	0	0.0	0		0		0	0
Lib1barcode70	1278	430	0.33646322	0	0.0	0	0.0	0	0
Lib1barcode71	4348	0	0.0	0		0		0	0
Lib1barcode72	4492	381	0.08481745	0	0.0	0	0.0	0	0
Lib1barcode73	7092	0	0.0	0		0		0	0
Lib1barcode74	3643	588	0.16140544	0	0.0	0	0.0	0	0
Lib2barcode01	2120	339	0.15990566	0	0.0	0	0.0	0	0
Lib2barcode02	1807	0	0.0	0		0		0	0
Lib2barcode03	1173	93	0.07928389	0	0.0	0	0.0	0	0
Lib2barcode04	3160	586	0.18544304	0	0.0	0	0.0	0	0
Lib2barcode05	3105	0	0.0	0		0		0	0
Lib2barcode06	2465	707	0.28681542	0	0.0	0	0.0	0	0
Lib2barcode07	2135	358	0.1676815	0	0.0	0	0.0	0	0
Lib2barcode08	5648	0	0.0	0		0		0	0
Lib2barcode09	1530	458	0.29934641	0	0.0	0	0.0	0	0
Lib2barcode10	1171	504	0.43040137	0	0.0	0	0.0	0	0
Lib2barcode11	2509	0	0.0	0		0		0	0
Lib2barcode12	2203	0	0.0	0		0		0	0
Lib2barcode13	5568	694	0.1246408	0	0.0	0	0.0	0	0
