execution	qc_flags	input_reads_competitive	mapped_any_target	unmapped	reads_one_reported_target	reads_multiple_reported_targets	reads_unique_best_AS	reads_tied_best_AS	dedup_records_removed	dedup_fraction_removed	dedup_duplicate_ids_resolved	dedup_conflicting_ids_resolved	multitarget_fraction_of_mapped	tied_fraction_of_mapped	locus_signal_model	taxonomic_resolution_note	two_haplotype_evidence	meta_library	meta_barcode	meta_barcode_number	meta_n_targets	meta_targets	meta_present_in_blast_folder	meta_n_raw_fastq_copies	meta_n_trimmed_fastq_copies	meta_raw_fastq_unique_sizes	meta_trimmed_fastq_unique_sizes	meta_raw_fastq_consistent_size	meta_trimmed_fastq_consistent_size	orig_library	orig_barcode	orig_total_reads	orig_kraken_classified	orig_kraken_taxon	orig_kraken_rank	orig_kraken_taxid	orig_kraken_genus	orig_kraken_genus_taxid	orig_kraken_clade_reads	orig_kraken_direct_reads	orig_kraken_minimizers	orig_kraken_distinct_minimizers	orig_kraken_distinct_fraction	orig_blast_filtered_reads	orig_blast_strong_reads	orig_blast_divergent_reads	orig_blast_top_class	orig_blast_top_taxid	orig_blast_top_organism	orig_blast_genus	orig_blast_genus_taxid	orig_blast_top_support_reads	orig_best_pident	orig_best_coverage	orig_best_aln_len	orig_best_bitscore	orig_concordance	orig_evidence_level	orig_status	fastq_raw_same_content_7_targets	fastq_trimmed_same_content_7_targets	fastq_content_validation_status	original_evidence_category	original_top_organism	original_status
Lib1barcode41	OK	2831	960	1871	960	0	960	0	0	0.0	0	0	0.0	0.0				Lib1	barcode41	41	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	997753	766867;766887;766925;767013;767338;767408;767497	1	0	Lib1	barcode41	3428	1030	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	148	0	1200	45	3.75	972	348	624	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	348	99.123	99.56	228	403.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode42	OK	1018	626	392	626	0	626	0	0	0.0	0	0	0.0	0.0				Lib1	barcode42	42	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	463649	339441;339459;339522;339558;339617;339635;339709	1	0	Lib1	barcode42	1266	818	Simplexvirus humanalpha1	S	3050292	Simplexvirus	10294	223	0	2587	312	12.06	753	130	623	FORTE	10298	Human alphaherpesvirus 1	Simplexvirus	10294	125	97.767	97.58	403	682.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Simplexvirus humanalpha1	OK
Lib1barcode43	OK	1469	783	686	783	0	783	0	0	0.0	0	0	0.0	0.0				Lib1	barcode43	43	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	495228	363457;363503;363589;363703;363741;363891;364074	1	0	Lib1	barcode43	1807	868	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	109	0	904	46	5.09	806	195	611	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	194	98.246	99.56	228	394.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode44	OK	477	157	320	157	0	157	0	0	0.0	0	0	0.0	0.0				Lib1	barcode44	44	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	187913	138209;138336;138358;138375;138464;138512;138531	1	0	Lib1	barcode44	574	174	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	21	0	194	34	17.53	166	53	113	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	53	98.222	87.89	225	389.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode45	OK	1972	470	1502	470	0	470	0	0	0.0	0	0	0.0	0.0				Lib1	barcode45	45	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	684833	531174;531249;531458;531472;531832;531904;531927	1	0	Lib1	barcode45	2378	508	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	84	0	624	42	6.73	494	178	316	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	178	98.690	100.00	229	400.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode46	OK	2275	620	1655	620	0	620	0	0	0.0	0	0	0.0	0.0				Lib1	barcode46	46	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	784492	599666;599667;599720;599829;599843;600139;600224	1	0	Lib1	barcode46	2815	672	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	91	0	791	50	6.32	636	220	416	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	219	98.684	99.56	228	398.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode47	OK	3162	409	2753	409	0	409	0	0	0.0	0	0	0.0	0.0				Lib1	barcode47	47	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	932615	688364;688588;688662;688809;688836;688889;688898	1	0	Lib1	barcode47	4049	441	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	108	0	814	31	3.81	406	144	262	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	144	99.123	99.56	228	403.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode48	OK	1753	229	1524	229	0	229	0	0	0.0	0	0	0.0	0.0				Lib1	barcode48	48	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	662085	494822;495056;495383;495458;495461;495547;495606	1	0	Lib1	barcode48	2188	265	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	57	0	440	34	7.73	248	86	162	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	86	98.684	99.56	228	398.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode49	OK	265	77	188	77	0	77	0	0	0.0	0	0	0.0	0.0				Lib1	barcode49	49	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	128121	102087;102140;102153;102160;102185;102204;102413	1	0	Lib1	barcode49	298	79	Lymphocryptovirus callitrichinegamma3	S	3050250	Lymphocryptovirus	10375	11	0	84	26	30.95	76	23	53	FORTE	106331	callitrichine gammaherpesvirus 3	Lymphocryptovirus	10375	23	96.930	100.44	228	378.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Lymphocryptovirus callitrichinegamma3	OK
Lib1barcode50	OK	951	586	365	586	0	586	0	0	0.0	0	0	0.0	0.0				Lib1	barcode50	50	7	montagem_LIB_3_HSV6;montagem_LIB_3_HSV7;montagens_Alouatta_macconnelli_cytomegalovirus;montagens_Alouatta_palliata_cytomegalovirus;montagens_CALHV3;montagens_Cebus_albifrons_lymphocryptovirus_1;montagens_consenso_H1	1	7	7	490669	370501;370538;370753;370758;370849;370857;370884	1	0	Lib1	barcode50	1170	758	Simplexvirus humanalpha1	S	3050292	Simplexvirus	10294	210	0	2635	329	12.49	712	133	579	FORTE	10298	Human alphaherpesvirus 1	Simplexvirus	10294	132	98.259	96.87	402	687.0	SIM_HIERARQUICA	A_MUITO_FORTE	OK	1	1	VALIDATED_SAME_CONTENT_7_TARGETS	A_MUITO_FORTE	Simplexvirus humanalpha1	OK
