execution	target_label	comparable_columns	differences	divergence_consensus_reference_pct	identity_consensus_reference_pct	internal_gap_base_columns
Lib1barcode41	CalHV3	179	0	0	100	0
Lib1barcode42	CalHV3	117	0	0	100	0
Lib1barcode42	H1_internal	139	0	0	100	0
Lib1barcode43	CalHV3	155	0	0	100	0
Lib1barcode44	CalHV3	179	0	0	100	0
Lib1barcode45	CalHV3	179	0	0	100	0
Lib1barcode46	CalHV3	179	0	0	100	0
Lib1barcode47	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib1barcode48	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib1barcode49	CalHV3	155	0	0	100	0
Lib1barcode50	H1_internal	139	0	0	100	0
Lib1barcode51	CalHV3	155	0	0	100	0
Lib1barcode52	CalHV3	179	0	0	100	0
Lib1barcode53	CalHV3	179	0	0	100	0
Lib1barcode54	CalHV3	179	0	0	100	0
Lib1barcode55	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib1barcode56	CalHV3	155	0	0	100	0
Lib1barcode57	CalHV3	179	0	0	100	0
Lib1barcode58	H1_internal	154	0	0	100	0
Lib1barcode59	CalHV3	179	0	0	100	0
Lib1barcode60	CalHV3	179	0	0	100	0
Lib1barcode61	CalHV3	179	4	2.23463687150838	97.7653631284916	0
Lib1barcode62	CalHV3	179	4	2.23463687150838	97.7653631284916	0
Lib1barcode63	CalHV3	179	0	0	100	0
Lib1barcode64	CalHV3	179	0	0	100	0
Lib1barcode65	H1_internal	154	0	0	100	0
Lib1barcode66	CalHV3	179	0	0	100	0
Lib1barcode67	CalHV3	179	0	0	100	0
Lib1barcode68	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib1barcode70	CalHV3	179	0	0	100	0
Lib1barcode72	H1_internal	154	0	0	100	0
Lib1barcode74	CalHV3	179	0	0	100	0
Lib2barcode01	CalHV3	179	5	2.79329608938547	97.2067039106145	0
Lib2barcode01	H1_internal	154	1	0.649350649350649	99.3506493506493	0
Lib2barcode03	CalHV3	179	6	3.35195530726257	96.6480446927374	0
Lib2barcode04	CalHV3	179	6	3.35195530726257	96.6480446927374	0
Lib2barcode06	CalHV3	179	0	0	100	0
Lib2barcode07	CalHV3	179	0	0	100	0
Lib2barcode09	CalHV3	179	0	0	100	0
Lib2barcode10	CalHV3	179	0	0	100	0
Lib2barcode13	H1_internal	154	0	0	100	0
Lib2barcode14	H1_internal	154	0	0	100	0
Lib2barcode15	H1_internal	182	0	0	100	0
Lib2barcode17	CalHV3	179	0	0	100	0
Lib2barcode18	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib2barcode19	CalHV3	179	0	0	100	0
Lib2barcode20	CalHV3	167	6	3.59281437125748	96.4071856287425	0
Lib2barcode21	CalHV3	179	0	0	100	0
Lib2barcode22	CalHV3	179	0	0	100	0
Lib2barcode23	CalHV3	179	0	0	100	0
Lib2barcode25	CalHV3	167	0	0	100	0
Lib2barcode26	CalHV3	179	0	0	100	0
Lib2barcode27	CalHV3	179	0	0	100	0
Lib2barcode28	CalHV3	179	0	0	100	0
Lib2barcode30	CalHV3	179	0	0	100	0
Lib2barcode31	CalHV3	179	0	0	100	0
Lib2barcode32	CalHV3	179	0	0	100	0
Lib2barcode34	CalHV3	179	0	0	100	0
Lib2barcode37	CalHV3	179	0	0	100	0
Lib2barcode40	CalHV3	179	0	0	100	0
Lib2barcode43	CalHV3	179	6	3.35195530726257	96.6480446927374	0
Lib2barcode45	CalHV3	179	0	0	100	0
Lib2barcode46	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib2barcode47	CalHV3	179	4	2.23463687150838	97.7653631284916	0
Lib2barcode48	CalHV3	179	6	3.35195530726257	96.6480446927374	0
Lib2barcode50	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib2barcode51	CalHV3	179	0	0	100	0
Lib2barcode52	CalHV3	179	4	2.23463687150838	97.7653631284916	0
Lib2barcode53	H1_internal	139	0	0	100	0
Lib2barcode54	CalHV3	155	0	0	100	0
Lib2barcode55	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib2barcode56	CalHV3	179	7	3.91061452513966	96.0893854748603	0
Lib2barcode57	CalHV3	161	0	0	100	0
Lib2barcode64	CalHV3	155	0	0	100	0
Lib2barcode65	CalHV3	179	0	0	100	0
Lib2barcode67	CalHV3	179	0	0	100	0
Lib2barcode70	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib2barcode71	CalHV3	179	0	0	100	0
Lib2barcode72	CalHV3	179	0	0	100	0
Lib2barcode73	CalHV3	179	8	4.46927374301676	95.5307262569832	0
Lib2barcode75	CalHV3	161	5	3.1055900621118	96.8944099378882	0
Lib2barcode75	H1_internal	182	2	1.0989010989011	98.9010989010989	0
Lib2barcode76	AmacCMV	176	13	7.38636363636364	92.6136363636364	0
Lib2barcode76	ApalCMV	176	14	7.95454545454545	92.0454545454545	0
Lib2barcode79	CalHV3	179	0	0	100	0
Lib2barcode81	Cebus_albifrons_LCV1	162	2	1.23456790123457	98.7654320987654	0
Lib2barcode82	AmacCMV	143	10	6.99300699300699	93.006993006993	0
Lib2barcode82	ApalCMV	176	14	7.95454545454545	92.0454545454545	0
Lib2barcode85	CalHV3	179	6	3.35195530726257	96.6480446927374	0
Lib2barcode86	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib2barcode87	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib2barcode89	CalHV3	179	0	0	100	0
Lib2barcode90	CalHV3	161	0	0	100	0
Lib2barcode91	CalHV3	179	6	3.35195530726257	96.6480446927374	0
Lib2barcode95	HSV6	180	9	5	95	0
Lib2barcode95	HSV7	174	0	0	100	0
Lib3barcode01	CalHV3	179	6	3.35195530726257	96.6480446927374	0
Lib3barcode03	CalHV3	179	0	0	100	0
Lib3barcode09	CalHV3	179	0	0	100	0
Lib3barcode10	CalHV3	179	6	3.35195530726257	96.6480446927374	0
Lib3barcode12	CalHV3	179	0	0	100	0
Lib3barcode15	AmacCMV	176	13	7.38636363636364	92.6136363636364	0
Lib3barcode15	ApalCMV	176	14	7.95454545454545	92.0454545454545	0
Lib3barcode17	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib3barcode20	CalHV3	179	0	0	100	0
Lib3barcode21	CalHV3	179	1	0.558659217877095	99.4413407821229	0
Lib3barcode25	CalHV3	179	0	0	100	0
