execution	candidate_targets	reads_input	references_input	consensuses_input	reads_retained	references_retained	consensuses_retained	entities_dropped_low_overlap	dropped_ids	minimum_comparable_columns	PCoA1_var_pct	PCoA2_var_pct
Lib1barcode41	CalHV3	162	1	1	162	1	1	0		40	2.03577963628866	1.51579872988582
Lib1barcode42	CalHV3|H1_internal	243	2	2	243	2	2	0		40	1.02697367389152	0.871873388042197
Lib1barcode43	CalHV3	220	1	1	220	1	1	0		40	1.48734758621334	0.956598792065325
Lib1barcode44	CalHV3	148	1	1	148	1	1	0		40	1.29680211707871	1.14662390017421
Lib1barcode45	CalHV3	131	1	1	131	1	1	0		40	1.95847538008808	1.73206591372059
Lib1barcode46	CalHV3	147	1	1	147	1	1	0		40	2.6690398245738	1.73017193968074
Lib1barcode47	CalHV3	73	1	1	73	1	1	0		40	4.07650057061878	2.95130037612455
Lib1barcode48	CalHV3	74	1	1	74	1	1	0		40	2.57099264918356	2.35223990071071
Lib1barcode49	CalHV3	72	1	1	72	1	1	0		40	3.9868401785138	3.34056180079233
Lib1barcode50	CalHV3|H1_internal	243	2	1	243	2	1	0		40	0.964172592684373	0.703529195719632
Lib1barcode51	CalHV3	220	1	1	220	1	1	0		40	1.70133869204988	1.13215191208371
Lib1barcode52	CalHV3	139	1	1	139	1	1	0		40	1.91507108740531	1.51437039679826
Lib1barcode53	CalHV3	135	1	1	135	1	1	0		40	1.87503232233981	1.75338208885549
Lib1barcode54	CalHV3	166	1	1	166	1	1	0		40	1.50641716127003	1.35418912445659
Lib1barcode55	CalHV3	93	1	1	93	1	1	0		40	3.2027900067043	2.25893855493392
Lib1barcode56	CalHV3	75	1	1	75	1	1	0		40	2.58219787689496	2.4527851595531
Lib1barcode57	CalHV3	230	1	1	230	1	1	0		40	1.27992512033641	0.998167184812879
Lib1barcode58	H1_internal	32	1	1	32	1	1	0		40	8.22908036401242	5.60632211059755
Lib1barcode59	CalHV3	207	1	1	207	1	1	0		40	1.08428810564943	1.04684314479459
Lib1barcode60	CalHV3	206	1	1	206	1	1	0		40	1.1549491033473	0.98010381606767
Lib1barcode61	CalHV3	232	1	1	232	1	1	0		40	1.40502678937969	1.21018865585894
Lib1barcode62	CalHV3	223	1	1	223	1	1	0		40	1.69217406343379	1.35392204672034
Lib1barcode63	CalHV3	194	1	1	194	1	1	0		40	1.03507047687649	0.925755793679043
Lib1barcode64	CalHV3	93	1	1	93	1	1	0		40	3.75684537890418	2.36364050644083
