execution	target_folder	target_label	sampled_reads_R	sampled_reads_mapped	sampled_reads_canonical_confirmed	median_divergence_aligned_pct	q25_divergence_aligned_pct	q75_divergence_aligned_pct	median_query_coverage_pct	reads_coverage_ge_70	reads_coverage_ge_80	reads_coverage_ge_90
Lib1barcode41	montagens_CALHV3	CalHV3	300	162	162	5.266106442577031	3.357372350507362	7.682496075353218	89.31459535480136	158	146	71
Lib1barcode42	montagens_CALHV3	CalHV3	300	9	9	8.372093023255815	4.848484848484849	11.682242990654206	89.82300884955752	8	7	4
Lib1barcode42	montagens_consenso_H1	H1_internal	300	234	234	8.705624252094136	6.614714909075725	10.746919562508651	97.78761061946902	225	216	194
Lib1barcode43	montagens_CALHV3	CalHV3	300	220	220	6.220095693779904	4.015075376884422	8.362676056338028	88.98529631288253	219	212	94
Lib1barcode43	montagens_consenso_H1	H1_internal	300	0	0					0	0	0
Lib1barcode44	montagens_CALHV3	CalHV3	286	148	148	5.154639175257732	3.381877022653722	7.22396533691917	86.83109118086696	144	121	50
Lib1barcode45	montagens_CALHV3	CalHV3	300	131	131	5.0	3.769826164192361	7.693116961679072	89.03508771929825	129	117	53
Lib1barcode46	montagens_CALHV3	CalHV3	300	147	147	6.598984771573604	3.4534150911258727	8.771687201408097	89.56521739130434	146	138	65
Lib1barcode47	montagens_CALHV3	CalHV3	300	73	73	5.741626794258373	3.6082474226804124	7.5376884422110555	88.44444444444444	71	61	19
Lib1barcode48	montagens_CALHV3	CalHV3	300	74	74	5.463127279897466	3.567036474959443	8.91640866873065	89.03884661593912	72	62	25
Lib1barcode49	montagens_CALHV3	CalHV3	151	72	72	5.305973090131172	4.207459207459207	8.049022289074252	89.33186869992247	69	60	28
Lib1barcode50	montagens_CALHV3	CalHV3	300	6	6	6.041582830315225	4.380267214799589	7.949362843729041	91.90415996322685	5	5	4
Lib1barcode50	montagens_consenso_H1	H1_internal	300	237	237	8.333333333333334	6.578947368421052	10.55045871559633	97.80701754385964	220	211	192
