execution	reads_totais	media_original	mediana_original	moda_original	dp_original	minimo_original	maximo_original	q25_original	q75_original	reads_filtradas	reads_removidas	percentual_mantido	media_filtrada	mediana_filtrada	moda_filtrada	dp_filtrado	minimo_filtrado	maximo_filtrado	q25_filtrado	q75_filtrado	min_compr	max_compr
Lib1barcode41	2831	239.502649240551	225	229	176.983846391241	50	3943	143	280.5	1689	1142	59.6608972094666	255.309058614565	229	229	57.4545187497461	180	400	222	292	180	400
Lib1barcode42	1018	311.774066797642	230	232	290.203241491267	50	3408	214	354	685	333	67.2888015717092	244.70802919708	229	232	50.5649025042302	180	400	220	235	180	400
Lib1barcode43	1469	222.690265486726	224	229	116.313093601062	50	1544	172	231	1001	468	68.141592920354	238.698301698302	227	229	44.1019601277867	180	399	220	231	180	400
Lib1barcode44	477	258.863731656184	227	226	157.301189331286	54	1245	172	343	286	191	59.958071278826	262.79020979021	230.5	226	60.1545206942573	183	399	224	301.75	180	400
Lib1barcode45	1972	233.760649087221	223	229	149.261953998331	50	2452	136	279	1065	907	54.0060851926978	255.692018779343	229	229	55.9324829808731	180	399	222	290	180	400
Lib1barcode46	2275	228.203956043956	221	229	148.602480362607	50	1362	127	264	1211	1064	53.2307692307692	252.580511973576	229	229	55.0514327515836	180	400	221.5	279	180	400
Lib1barcode47	3162	178.98513598988	159	71	111.3312420695	50	2028	93	229	1282	1880	40.5439595192916	249.054602184087	229	228	52.0142910903572	180	400	214	271	180	400
Lib1barcode48	1753	243.877353108956	225	227	150.81727246964	50	1324	137	322	975	778	55.6189389617798	273.93641025641	259	227	63.8835090486865	180	399	222	327.5	180	400
Lib1barcode49	265	340.392452830189	232	227	318.4650519865	50	2894	197	375	151	114	56.9811320754717	267.980132450331	232	227	61.7141226623399	180	395	226	321	180	400
Lib1barcode50	951	366.297581493165	231	230	402.023857349729	50	5068	220	403	609	342	64.0378548895899	243.308702791461	229	230	49.1771094969901	181	400	221	234	180	400
Lib1barcode51	1235	227.818623481781	225	228	125.513071412297	51	2345	191	230	879	356	71.1740890688259	240.061433447099	227	228	45.2334703142182	180	400	222	231	180	400
Lib1barcode52	2012	220.251491053678	218.5	229	137.784618397321	50	1313	125	251	1116	896	55.4671968190855	248.277777777778	229	229	53.4240661317801	180	400	219	260	180	400
Lib1barcode53	4436	229.680117222723	221	229	152.764093751274	50	3495	133.75	266	2420	2016	54.5536519386835	255.156611570248	229	229	56.2981625851592	180	400	222	285	180	400
Lib1barcode54	2759	229.020659659297	221	228	157.351013620677	50	1957	124	261	1460	1299	52.9177238129757	251.300684931507	229	228	54.4141141486719	180	400	221	276	180	400
Lib1barcode55	3035	181.205601317957	162	229	120.240400958534	50	1928	92	229	1269	1766	41.8121911037891	248.703703703704	229	229	52.8847669428526	180	400	212	273	180	400
Lib1barcode56	2648	237.929380664653	224	71	152.239739697293	50	1996	136	303	1474	1174	55.6646525679758	269.025780189959	252	226	62.3340486307862	180	400	223	316	180	400
Lib1barcode57	3733	206.440932226092	224	229	96.0557183361228	50	1517	160	229	2581	1152	69.1401017948031	233.858581944983	228	229	35.8869315161837	180	399	222	231	180	400
Lib1barcode58	6739	248.880546075085	228	71	157.613534460451	50	1720	127	348	3423	3316	50.7938863332839	284.501898919077	277	230	65.6118078781426	180	400	228	349.5	180	400
Lib1barcode59	2863	243.292350681104	227	229	140.834557451269	50	2318	201	250	2133	730	74.5022703457911	246.383497421472	229	229	49.0494270521205	180	400	224	250	180	400
Lib1barcode60	371	208.380053908356	224	229	87.0511408000589	53	854	171.5	229	264	107	71.1590296495957	230.465909090909	226.5	229	31.4251898900657	180	400	221	230	180	400
Lib1barcode61	1828	236.522428884026	227	229	142.227844529106	50	1782	200	231	1360	468	74.398249452954	239.163970588235	228	229	44.006659093384	180	400	223	231	180	400
Lib1barcode62	2028	219.402366863905	226	228	90.3405650603936	52	1116	198	230	1548	480	76.3313609467456	233.90503875969	227	228	36.56036123152	180	399	222	231	180	400
Lib1barcode63	3627	220.787151916184	226	229	109.05503916288	50	1209	160	250	2418	1209	66.6666666666667	248.517783291977	229	229	48.4096765892051	180	400	224	258	180	400
Lib1barcode64	1874	227.421558164354	217.5	229	144.107443026507	50	1484	120	293	1001	873	53.4151547491996	262.73026973027	230	229	62.7545470290972	180	400	220	307	180	400
Lib1barcode65	4628	237.011884183232	227	231	136.603310013125	50	1542	147	295	2702	1926	58.3837510803803	263.390451517395	244	231	58.4796109095489	180	400	224	302	180	400
Lib1barcode66	2701	235.027767493521	227	229	153.354550364734	50	3828	138	294	1561	1140	57.7934098482044	261.110826393338	238	229	54.9602060412685	180	399	225	298	180	400
Lib1barcode67	3459	220.237351835791	227	229	118.457631941162	50	2294	145	256	2227	1232	64.3827695865857	251.446340368208	230	229	48.1259687370509	180	399	225	261	180	400
Lib1barcode68	2968	230.327156334232	227	229	132.106285063017	50	1439	128	289	1703	1265	57.3787061994609	266.521432765708	255	229	55.597517928646	180	400	227	299	180	400
Lib1barcode69	4730	255.523890063425	245	71	160.84648136941	50	3086	137	354.75	2526	2204	53.4038054968288	288.25890736342	277	250	63.5867495836016	180	400	239	352	180	400
