execution	target_folder	target_label	reference_id	reference_origin	target_qc_flags	biological_role	reads_with_reported_alignment	reads_unique_best_AS	reads_tied_best_AS_including_target	median_AS	median_identity	median_query_coverage	reference_length_bp	reference_header_original	reference_md5
Lib1barcode41	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode41	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode41	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
Lib1barcode41	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode41	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	960	960	0	326.0	0.94845361	0.89174732	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode41	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode41	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	0	0	0				227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode42	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode42	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode42	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
