execution	target_folder	target_label	reference_id	reference_origin	reads_with_reported_alignment	reads_unique_best_AS	reads_tied_best_AS_including_target	median_AS	median_identity	median_query_coverage
Lib1barcode41	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	0	0	0			
Lib1barcode41	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	0	0	0			
Lib1barcode41	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	0	0	0			
Lib1barcode41	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	0	0	0			
Lib1barcode41	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	960	960	0	326.0	0.94845361	0.89174732
Lib1barcode41	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	0	0	0			
Lib1barcode41	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	0	0	0			
Lib1barcode42	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	0	0	0			
Lib1barcode42	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	0	0	0			
Lib1barcode42	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	0	0	0			
Lib1barcode42	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	0	0	0			
Lib1barcode42	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	15	15	0	310	0.94482759	0.89451477
Lib1barcode42	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	0	0	0			
Lib1barcode42	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	611	611	0	331	0.91150442	0.97787611
Lib1barcode43	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	0	0	0			
Lib1barcode43	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	0	0	0			
Lib1barcode43	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	0	0	0			
Lib1barcode43	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	0	0	0			
Lib1barcode43	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	782	782	0	314.0	0.93838863	0.89867841
Lib1barcode43	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	0	0	0			
Lib1barcode43	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	1	1	0	316	0.87606838	0.97854077
Lib1barcode44	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	0	0	0			
Lib1barcode44	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	0	0	0			
Lib1barcode44	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	0	0	0			
Lib1barcode44	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	0	0	0			
Lib1barcode44	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	157	157	0	324	0.94871795	0.87111111
Lib1barcode44	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	0	0	0			
Lib1barcode44	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	0	0	0			
Lib1barcode45	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	0	0	0			
Lib1barcode45	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	0	0	0			
Lib1barcode45	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	0	0	0			
Lib1barcode45	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	0	0	0			
Lib1barcode45	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	470	470	0	332.0	0.95215311	0.88444444
Lib1barcode45	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	0	0	0			
Lib1barcode45	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	0	0	0			
Lib1barcode46	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	0	0	0			
Lib1barcode46	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	0	0	0			
Lib1barcode46	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	0	0	0			
Lib1barcode46	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	0	0	0			
Lib1barcode46	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	620	620	0	328.0	0.95012438	0.88787142
Lib1barcode46	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	0	0	0			
Lib1barcode46	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	0	0	0			
Lib1barcode47	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	0	0	0			
Lib1barcode47	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	0	0	0			
Lib1barcode47	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	0	0	0			
Lib1barcode47	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	0	0	0			
Lib1barcode47	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	409	409	0	316	0.94258373	0.88646288
Lib1barcode47	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	0	0	0			
Lib1barcode47	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	0	0	0			
Lib1barcode48	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	0	0	0			
Lib1barcode48	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	0	0	0			
Lib1barcode48	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	0	0	0			
Lib1barcode48	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	0	0	0			
Lib1barcode48	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	229	229	0	326	0.94258373	0.88938053
Lib1barcode48	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	0	0	0			
Lib1barcode48	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	0	0	0			
Lib1barcode49	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	0	0	0			
Lib1barcode49	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	0	0	0			
Lib1barcode49	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	0	0	0			
Lib1barcode49	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	0	0	0			
Lib1barcode49	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	77	77	0	320	0.94623656	0.89041096
Lib1barcode49	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	0	0	0			
Lib1barcode49	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	0	0	0			
Lib1barcode50	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	0	0	0			
